 ,Image_ID,Track,Mother?,Frame,X,Y,Ch1_Mean,Ch2_Mean,Ch3_Mean,Ch4_Mean,Ch5_Mean,Cilia_COMX,Cilia_COMY,Distance_to_Cilia_(um),Length,Feret,Straightness,Kurt,Skew,Angle
40,280316_weekend_xy10.nd2,1a,0,40,214,172,85.6250,1061.2375,129.5375,680.7000,0,220,163,10.8167,7.6158,8.9443,1.1744,-1.2099,0.4515,26.5651
41,280316_weekend_xy10.nd2,1a,0,41,216,142,69.8625,1223.0125,52.0125,686.1875,0,223,131,13.0384,7.1623,5.6569,0.7898,-1.1072,0.2657,45.0000
42,280316_weekend_xy10.nd2,1a,0,42,219,177,68.5250,1359.0875,38.0250,699.6625,0,228,161,18.3576,9.1530,9.0554,0.9893,0.2911,1.1800,96.3402
43,280316_weekend_xy10.nd2,1a,0,43,219,177,80.6875,1487.9000,31.9250,683.7625,0,225,163,15.2315,6.4031,7.8102,1.2198,-0.8139,0.6094,50.1944
44,280316_weekend_xy10.nd2,1a,0,44,218,174,53.8375,1627.2250,42.7500,725.8250,0,222,164,10.7703,7.6344,8.4853,1.1115,-0.9505,-0.3285,45.0000
45,280316_weekend_xy10.nd2,1a,0,45,215,174,56.2250,1656.7250,34.5500,701.0250,0,226,163,15.5563,7.0000,7.2801,1.0400,-0.7764,-0.4995,105.9454
46,280316_weekend_xy10.nd2,1a,0,46,216,143,71.6000,1808.9875,40.7875,754.2500,0,224,130,15.2643,10.0000,8.2462,0.8246,-1.2060,0.0800,14.0362
47,280316_weekend_xy10.nd2,1a,0,47,218,145,66.2625,1805.7625,22.2500,791.4625,0,226,136,12.0416,9.6883,10.7703,1.1117,-1.1712,-0.2217,68.1986
48,280316_weekend_xy10.nd2,1a,0,48,220,180,91.5000,2007.4000,34.9875,779.6625,0,226,168,13.4164,8.1623,9.4340,1.1558,0.1363,-0.9717,57.9946
49,280316_weekend_xy10.nd2,1a,0,49,218,178,91.4375,2150.6500,34.2875,745.5625,0,225,168,12.2066,8.9443,10.2956,1.1511,-1.2538,-0.3868,60.9454
50,280316_weekend_xy10.nd2,1a,0,50,215,177,75.4375,2342.5625,24.7000,704.3625,0,225,171,11.6619,10.5549,11.1803,1.0593,-0.1703,1.0689,79.6952
51,280316_weekend_xy10.nd2,1a,0,51,215,175,46.6500,2280.4750,46.5250,812.0500,0,224,174,9.0554,8.2361,9.2195,1.1194,-0.8513,0.5768,77.4712
52,280316_weekend_xy10.nd2,1a,0,52,215,176,68.9625,2380.7625,26.6250,769.2500,0,225,175,10.0499,10.3351,11.0454,1.0687,0.6456,1.1493,95.1944
53,280316_weekend_xy10.nd2,1a,0,53,211,173,69.0625,2446.7500,35.9500,827.4750,0,221,178,11.1803,8.9932,9.8995,1.1008,-1.6430,0.1707,45.0000
54,280316_weekend_xy10.nd2,1a,0,54,210,145,71.7000,2581.8375,40.0125,757.3625,0,219,149,9.8489,10.4497,11.4018,1.0911,-1.4527,-0.4455,52.1250
55,280316_weekend_xy10.nd2,1a,0,55,212,143,61.5500,2809.1250,39.4000,753.6625,0,222,149,11.6619,8.0000,8.6023,1.0753,-0.9908,0.6885,35.5377
56,280316_weekend_xy10.nd2,1a,0,56,212,143,55.4625,2627.1125,30.3750,644.6375,0,223,152,14.2127,10.3031,11.3137,1.0981,0.1661,0.0572,45.0000
57,280316_weekend_xy10.nd2,1a,0,57,214,146,76.6875,2809.7000,35.1375,782.4750,0,226,147,12.0416,7.2558,8.4853,1.1694,-0.6181,0.8849,45.0000
58,280316_weekend_xy10.nd2,1a,0,58,216,145,61.4750,2786.0750,44.3625,710.3250,0,225,147,9.2195,7.6344,8.4853,1.1115,-0.0878,-0.7354,45.0000
59,280316_weekend_xy10.nd2,1a,0,59,215,145,66.6250,2753.2750,42.7375,744.0625,0,223,149,8.9443,9.3071,10.6301,1.1422,-1.5357,0.0872,41.1859
60,280316_weekend_xy10.nd2,1a,0,60,217,148,70.0375,2698.7375,31.1500,721.7250,0,226,150,9.2195,9.9515,8.6023,0.8644,-0.6069,-0.6848,54.4623
61,280316_weekend_xy10.nd2,1a,0,61,219,146,53.7375,2733.9875,43.8250,756.8625,0,227,151,9.4340,7.1623,8.2462,1.1513,0.7848,1.3593,104.0362
62,280316_weekend_xy10.nd2,1a,0,62,219,152,76.1250,2963.8375,32.3250,748.6375,0,227,155,8.5440,8.0000,7.6158,0.9520,2.0022,1.6855,66.8014
63,280316_weekend_xy10.nd2,1a,0,63,217,155,54.3000,2988.5750,28.4375,759.5125,0,227,159,10.7703,6.7678,8.0623,1.1913,-1.4109,0.0499,60.2551
64,280316_weekend_xy10.nd2,1a,0,64,217,154,61.9875,2921.9875,30.1125,725.2250,0,226,161,11.4018,8.2426,8.9443,1.0851,0.4785,1.0105,63.4349
65,280316_weekend_xy10.nd2,1a,0,65,217,163,75.8000,2948.6375,35.3750,787.2125,0,224,167,8.0623,5.6569,7.0711,1.2500,-0.5327,1.0095,45.0000
66,280316_weekend_xy10.nd2,1a,0,66,218,167,163.1250,2729.7625,38.1750,828.1375,0,222,166,4.1231,11.4537,12.8062,1.1181,-1.2856,0.3421,128.6598
67,280316_weekend_xy10.nd2,1a,0,67,220,168,213.9500,2763.8500,42.8875,807.2375,0,220,169,1.0000,9.5162,10.2956,1.0819,-0.9022,0.5121,119.0546
68,280316_weekend_xy10.nd2,1a,0,68,215,174,125.7250,2916.9000,48.5500,796.2625,0,221,174,6.0000,7.4721,7.8102,1.0452,-0.9313,0.4475,129.8056
69,280316_weekend_xy10.nd2,1a,0,69,215,171,172.9250,2968.2125,73.0750,786.4750,0,220,169,5.3852,8.2613,9.4868,1.1483,-0.8290,-0.5711,108.4349
70,280316_weekend_xy10.nd2,1a,0,70,215,169,159.4375,2622.8750,56.9875,746.5000,0,215,168,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,280316_weekend_xy10.nd2,1a,0,71,210,169,101.2875,1589.0500,57.2500,838.3375,0,210,168,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,280316_weekend_xy10.nd2,1b,0,7,180,119,49.2625,462.1500,29.9250,829.8875,0,180,118,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,280316_weekend_xy10.nd2,1b,0,8,173,116,68.5750,81.9625,33.1500,806.1750,0,173,115,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,280316_weekend_xy10.nd2,1b,0,9,170,115,46.8625,8.0500,54.0625,844.8500,0,170,114,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,280316_weekend_xy10.nd2,1b,0,10,197,147,56.5000,15.1875,86.1375,789.8500,0,197,146,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,280316_weekend_xy10.nd2,1b,0,11,203,172,51.7750,10.6000,40.3250,808.5500,0,203,171,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,280316_weekend_xy10.nd2,1b,0,12,165,127,40.4125,19.0750,76.6625,799.6750,0,165,126,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,280316_weekend_xy10.nd2,1b,0,13,165,124,42.2625,20.1875,103.0125,867.3750,0,165,123,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,280316_weekend_xy10.nd2,1b,0,14,162,124,44.3750,23.7250,110.8750,918.4875,0,162,123,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,280316_weekend_xy10.nd2,1b,0,15,160,125,50.4125,38.4625,143.5125,865.6625,0,160,124,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,280316_weekend_xy10.nd2,1b,0,16,162,129,46.1125,32.3125,174.1125,816.9125,0,162,128,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,280316_weekend_xy10.nd2,1b,0,17,153,136,86.7125,60.9000,185.9750,810.5125,0,153,135,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,280316_weekend_xy10.nd2,1b,0,18,150,136,90.8375,43.4250,209.3625,867.3125,0,150,135,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,280316_weekend_xy10.nd2,1b,0,19,153,139,247.2750,47.2500,260.5875,818.8875,0,153,138,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,280316_weekend_xy10.nd2,1b,0,20,152,135,212.3875,49.3375,330.2000,912.2250,0,152,134,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,280316_weekend_xy10.nd2,1b,0,21,149,133,268.0000,45.3250,299.0000,914.1500,0,149,132,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,280316_weekend_xy10.nd2,1b,0,22,151,135,268.3875,52.0125,432.9250,864.6250,0,151,134,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,280316_weekend_xy10.nd2,1b,0,23,146,139,199.4375,38.4875,741.4375,813.6125,0,146,138,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,280316_weekend_xy10.nd2,1b,0,24,149,141,192.1500,58.2125,822.7125,781.7625,0,149,140,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,280316_weekend_xy10.nd2,1b,0,25,149,135,205.3500,48.4750,585.7750,828.6625,0,149,134,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,280316_weekend_xy10.nd2,1b,0,26,147,134,182.0750,42.8500,579.6750,845.8500,0,147,133,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,280316_weekend_xy10.nd2,1b,0,27,150,132,168.0875,58.3625,673.6750,766.9625,0,150,131,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,280316_weekend_xy10.nd2,1b,0,28,152,141,264.1875,886.6625,2481.4125,706.1250,0,152,140,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,280316_weekend_xy10.nd2,1b,0,29,170,148,256.8875,88.6125,733.9125,780.0500,0,170,147,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,280316_weekend_xy10.nd2,1b,0,30,169,148,279.4750,34.0875,773.3500,782.2625,0,169,147,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,280316_weekend_xy10.nd2,1b,0,31,169,148,127.3625,36.5250,715.2625,927.1750,0,169,147,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,280316_weekend_xy10.nd2,1b,0,32,168,149,139.0375,42.1125,761.8125,969.2500,0,168,148,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,280316_weekend_xy10.nd2,1b,0,33,168,148,76.3500,36.2125,717.6125,3527.4000,0,168,147,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,280316_weekend_xy10.nd2,1b,0,34,168,150,66.0250,40.4875,781.5375,927.7250,0,158,157,12.2066,6.3592,7.0711,1.1119,-0.3701,0.9837,98.1301
100,280316_weekend_xy10.nd2,1b,0,35,166,154,64.3125,28.5375,831.4375,839.8125,0,157,153,9.0554,4.4721,5.8310,1.3038,0.1545,1.4218,59.0362
101,280316_weekend_xy10.nd2,1b,0,36,164,155,64.9250,26.8500,805.1500,934.0000,0,157,157,7.2801,4.1231,5.3852,1.3061,-1.2631,-0.4076,158.1986
102,280316_weekend_xy10.nd2,1b,0,37,167,153,98.7000,26.5375,901.2750,874.4000,0,159,155,8.2462,5.0000,6.4031,1.2806,-0.7717,0.5629,38.6598
103,280316_weekend_xy10.nd2,1b,0,38,166,153,75.6625,20.4875,1018.6125,886.5625,0,156,157,10.7703,4.4721,5.8310,1.3038,-1.7344,0.0813,149.0362
104,280316_weekend_xy10.nd2,1b,0,39,168,158,106.9375,27.5750,1078.6750,891.7375,0,158,156,10.1980,2.2361,3.6056,1.6125,-1.5000,-0.0127,56.3099
105,280316_weekend_xy10.nd2,1b,0,40,163,188,169.4500,39.1125,1103.8375,881.1625,0,159,182,7.2111,6.4340,6.0828,0.9454,-0.0872,-0.7845,170.5377
106,280316_weekend_xy10.nd2,1b,0,41,159,159,90.8750,32.1000,991.8750,812.9500,0,156,156,4.2426,5.3852,6.7082,1.2457,-1.4844,-0.0677,63.4349
107,280316_weekend_xy10.nd2,1b,0,42,158,193,111.7000,32.8375,1055.9500,794.8625,0,153,188,7.0711,4.2426,5.6569,1.3333,-1.0094,0.2448,45.0000
108,280316_weekend_xy10.nd2,1b,0,43,160,190,142.3500,45.0625,1094.6000,854.1250,0,154,189,6.0828,6.0828,7.2801,1.1968,-1.1008,0.9003,74.0546
109,280316_weekend_xy10.nd2,1b,0,44,163,189,245.5375,50.7000,1310.1625,930.8250,0,155,185,8.9443,7.0711,8.2462,1.1662,-1.1022,-0.3589,75.9638
110,280316_weekend_xy10.nd2,1b,0,45,159,190,188.2750,32.5750,1176.6750,1008.8500,0,155,185,6.4031,5.8310,7.2111,1.2367,-1.4899,0.4446,56.3099
111,280316_weekend_xy10.nd2,1b,0,46,162,158,103.5500,28.9750,1198.0250,832.5500,0,157,153,7.0711,6.0000,7.0711,1.1785,-0.8793,0.3873,98.1301
112,280316_weekend_xy10.nd2,1b,0,47,158,158,168.6125,32.5625,1259.3250,858.2750,0,154,154,5.6569,6.7082,8.0623,1.2019,-1.3690,-0.4099,60.2551
113,280316_weekend_xy10.nd2,1b,0,48,159,191,116.0500,32.7250,1195.6250,791.6875,0,156,185,6.7082,9.4868,10.7703,1.1353,-0.2729,-0.2610,68.1986
114,280316_weekend_xy10.nd2,1b,0,49,159,190,148.9250,22.4125,1222.6125,744.0625,0,156,184,6.7082,6.2361,7.2801,1.1674,-0.5951,0.8448,74.0546
115,280316_weekend_xy10.nd2,1b,0,50,158,190,246.3875,31.3750,1271.0125,733.4250,0,156,188,2.8284,8.0623,9.2195,1.1435,-1.0635,0.5307,77.4712
116,280316_weekend_xy10.nd2,1b,0,51,160,189,227.4875,19.2875,1263.2125,808.2875,0,157,189,3.0000,11.2213,11.1803,0.9963,-0.8133,0.7235,79.6952
117,280316_weekend_xy10.nd2,1b,0,52,162,190,167.2750,27.0125,1243.1250,857.4000,0,157,186,6.4031,10.0000,8.9443,0.8944,0.4695,1.0569,63.4349
118,280316_weekend_xy10.nd2,1b,0,53,164,187,95.6625,30.5500,1276.5625,783.9250,0,160,185,4.4721,9.4721,9.2195,0.9733,-0.7468,0.8219,102.5288
119,280316_weekend_xy10.nd2,1b,0,54,160,157,229.5250,31.8000,1298.5875,791.1250,0,157,156,3.1623,8.8310,7.2111,0.8166,-1.2974,-0.2999,123.6901
